id,name,category,variation,availability
furniture_28-3,aroma pot,Miscellaneous,Green,crafting 
furniture_28-4,aroma pot,Miscellaneous,Pink,crafting 
furniture_28-5,aroma pot,Miscellaneous,Cream,crafting 
furniture_28-6,aroma pot,Miscellaneous,Black,crafting 
furniture_29-1,arowana model,Miscellaneous,,C.J. 
furniture_30-1,Baby bear,Miscellaneous,Cream,Nook's Cranny 
furniture_30-5,Baby bear,Miscellaneous,Caramel mocha,Nook's Cranny 
furniture_30-9,Baby bear,Miscellaneous,Choco,Nook's Cranny 
furniture_30-13,Baby bear,Miscellaneous,Floral,Nook's Cranny 
furniture_30-17,Baby bear,Miscellaneous,Checkered,Nook's Cranny 
furniture_30-21,Baby bear,Miscellaneous,Tweed,Nook's Cranny 
furniture_31-1,Baby panda,Miscellaneous,,Nook's Cranny 
furniture_32-1,backlit sign,Miscellaneous,Black,Nook's Cranny Paradise Planning office 
furniture_32-9,backlit sign,Miscellaneous,Silver,Nook's Cranny Paradise Planning office 
furniture_32-17,backlit sign,Miscellaneous,White,Nook's Cranny Paradise Planning office 
furniture_33-1,bagworm model,Miscellaneous,,Flick 
furniture_34-1,baked potatoes,Miscellaneous,,cooking 
furniture_35-1,ball,Miscellaneous,Basketball,Nook's Cranny 
furniture_35-2,ball,Miscellaneous,Soccer ball,Nook's Cranny 
furniture_35-3,ball,Miscellaneous,Volleyball,Nook's Cranny 
furniture_35-4,ball,Miscellaneous,Dodgeball,Nook's Cranny 
furniture_36-1,bamboo candleholder,Miscellaneous,Green bamboo,crafting 
furniture_36-2,bamboo candleholder,Miscellaneous,Dried bamboo,crafting 
furniture_36-3,bamboo candleholder,Miscellaneous,Smoke-cured bamboo,crafting 
furniture_37-1,bamboo drum,Miscellaneous,Green bamboo,crafting 
furniture_37-2,bamboo drum,Miscellaneous,Dried bamboo,crafting 
furniture_37-3,bamboo drum,Miscellaneous,Smoke-cured bamboo,crafting 
furniture_38-1,bamboo lunch box,Miscellaneous,Green bamboo,crafting 
furniture_38-2,bamboo lunch box,Miscellaneous,Dried bamboo,crafting 
furniture_38-3,bamboo lunch box,Miscellaneous,Smoke-cured bamboo,crafting 
furniture_39-1,bamboo sphere,Miscellaneous,Green bamboo,crafting 
furniture_39-2,bamboo sphere,Miscellaneous,Dried bamboo,crafting 
furniture_39-3,bamboo sphere,Miscellaneous,Smoke-cured bamboo,crafting 
furniture_40-1,bamboo-shoot lamp,Miscellaneous,,crafting 
furniture_41-1,bamboo-shoot soup,Miscellaneous,,cooking 
furniture_42-1,banker's lamp,Miscellaneous,Green,Nook's Cranny Paradise Planning office 
furniture_42-2,banker's lamp,Miscellaneous,Blue,Nook's Cranny Paradise Planning office 
furniture_42-3,banker's lamp,Miscellaneous,White,Nook's Cranny Paradise Planning office 
furniture_42-4,banker's lamp,Miscellaneous,Black,Nook's Cranny Paradise Planning office 
furniture_42-5,banker's lamp,Miscellaneous,Orange,Nook's Cranny Paradise Planning office 
furniture_43-1,barred knifejaw model,Miscellaneous,,C.J. 
furniture_44-1,barred-knifejaw carpaccio,Miscellaneous,,cooking 
furniture_45-1,barreleye model,Miscellaneous,,C.J. 
furniture_46-1,baseball set,Miscellaneous,Red & tan,Nook's Cranny Paradise Planning office 
furniture_46-2,baseball set,Miscellaneous,Beige & brown,Nook's Cranny Paradise Planning office 
furniture_46-3,baseball set,Miscellaneous,Brown & red,Nook's Cranny Paradise Planning office 
furniture_46-4,baseball set,Miscellaneous,Gray & blue,Nook's Cranny Paradise Planning office 
furniture_46-5,baseball set,Miscellaneous,Yellow & green,Nook's Cranny Paradise Planning office 
furniture_46-6,baseball set,Miscellaneous,Black & yellow,Nook's Cranny Paradise Planning office 
furniture_46-7,baseball set,Miscellaneous,Blue & navy,Nook's Cranny Paradise Planning office 
furniture_46-8,baseball set,Miscellaneous,Black & white,Nook's Cranny Paradise Planning office 
furniture_47-1,bath bucket,Miscellaneous,White,Nook's Cranny Paradise Planning office 
furniture_47-8,bath bucket,Miscellaneous,Yellow,Nook's Cranny Paradise Planning office 
furniture_47-15,bath bucket,Miscellaneous,Red,Nook's Cranny Paradise Planning office 
furniture_47-22,bath bucket,Miscellaneous,Brown,Nook's Cranny Paradise Planning office 
furniture_47-29,bath bucket,Miscellaneous,Blue,Nook's Cranny Paradise Planning office 
furniture_47-36,bath bucket,Miscellaneous,Pink,Nook's Cranny Paradise Planning office 
furniture_47-43,bath bucket,Miscellaneous,Green,Nook's Cranny Paradise Planning office 
furniture_47-50,bath bucket,Miscellaneous,Purple,Nook's Cranny Paradise Planning office 
furniture_48-1,beach ball,Miscellaneous,Colorful,Timmy Nook's Cranny 
furniture_48-2,beach ball,Miscellaneous,Blue,Timmy Nook's Cranny 
furniture_48-3,beach ball,Miscellaneous,Red,Timmy Nook's Cranny 
furniture_48-4,beach ball,Miscellaneous,Watermelon,Timmy Nook's Cranny 
furniture_49-1,bell cricket model,Miscellaneous,,Flick 
furniture_50-1,berliner,Miscellaneous,,Nook Shopping 
furniture_51-1,betta model,Miscellaneous,,C.J. 
furniture_52-1,bingo wheel,Miscellaneous,,Nook's Cranny 
furniture_53-1,birthday cake,Miscellaneous,Whipped-cream topping,Birthday 
furniture_53-2,birthday cake,Miscellaneous,Chocolate buttercream,Birthday 
furniture_53-3,birthday cake,Miscellaneous,Strawberry buttercream,Birthday 
furniture_54-1,birthday candles,Miscellaneous,Colorful,Birthday 
furniture_54-2,birthday candles,Miscellaneous,Pink,Birthday 
furniture_54-3,birthday candles,Miscellaneous,Blue,Birthday 
furniture_54-4,birthday candles,Miscellaneous,Green,Birthday 
furniture_54-5,birthday candles,Miscellaneous,Orange,Birthday 
furniture_54-6,birthday candles,Miscellaneous,Gorgeous,Birthday 
furniture_55-1,biryani,Miscellaneous,,Nook's Cranny café 
furniture_56-1,bitterling model,Miscellaneous,,C.J. 
furniture_57-1,black bass model,Miscellaneous,,C.J. 
furniture_58-1,blood-orange juice,Miscellaneous,,Nook's Cranny café 
furniture_59-1,blossom lantern,Miscellaneous,,Nook Shopping 
furniture_60-1,blowfish model,Miscellaneous,,C.J. 
furniture_61-1,blue marlin model,Miscellaneous,,C.J. 
furniture_62-1,blue weevil beetle model,Miscellaneous,,Flick 
furniture_63-1,bluegill model,Miscellaneous,,C.J. 
furniture_64-1,board game,Miscellaneous,Simple path game,Nook's Cranny 
furniture_64-2,board game,Miscellaneous,Territory game,Nook's Cranny 
furniture_64-3,board game,Miscellaneous,Kids' game,Nook's Cranny 
furniture_65-1,book,Miscellaneous,Western literature,Nook's Cranny 
furniture_65-2,book,Miscellaneous,Japanese literature,Nook's Cranny 
furniture_65-3,book,Miscellaneous,Encyclopedia,Nook's Cranny 
furniture_65-4,book,Miscellaneous,Textbook,Nook's Cranny 
furniture_66-1,book stands,Miscellaneous,White,Nook's Cranny 
furniture_66-2,book stands,Miscellaneous,Navy blue,Nook's Cranny 
furniture_66-3,book stands,Miscellaneous,Black,Nook's Cranny 
furniture_66-4,book stands,Miscellaneous,Pink,Nook's Cranny 
furniture_67-1,bottle crate,Miscellaneous,Yellow,Nook's Cranny Paradise Planning office 
furniture_67-9,bottle crate,Miscellaneous,Red,Nook's Cranny Paradise Planning office 
furniture_67-17,bottle crate,Miscellaneous,Green,Nook's Cranny Paradise Planning office 
furniture_67-25,bottle crate,Miscellaneous,Blue,Nook's Cranny Paradise Planning office 
furniture_67-33,bottle crate,Miscellaneous,Black,Nook's Cranny Paradise Planning office 
furniture_67-41,bottle crate,Miscellaneous,White,Nook's Cranny Paradise Planning office 
furniture_67-49,bottle crate,Miscellaneous,Gray,Nook's Cranny Paradise Planning office 
furniture_68-1,bottled beverage,Miscellaneous,Clear,Nook's Cranny Paradise Planning office 
furniture_68-8,bottled beverage,Miscellaneous,Blue,Nook's Cranny Paradise Planning office 
furniture_68-15,bottled beverage,Miscellaneous,Brown,Nook's Cranny Paradise Planning office 
furniture_68-22,bottled beverage,Miscellaneous,Black,Nook's Cranny Paradise Planning office 
furniture_68-29,bottled beverage,Miscellaneous,Green,Nook's Cranny Paradise Planning office 
furniture_68-36,bottled beverage,Miscellaneous,Orange,Nook's Cranny Paradise Planning office 
furniture_68-43,bottled beverage,Miscellaneous,Purple,Nook's Cranny Paradise Planning office 
furniture_69-1,bottled ship,Miscellaneous,Trading ship,Nook's Cranny 
furniture_69-2,bottled ship,Miscellaneous,Leisure boat,Nook's Cranny 
furniture_69-3,bottled ship,Miscellaneous,Pirate ship,Nook's Cranny 
furniture_70-1,bread,Miscellaneous,,cooking 
furniture_71-1,bread gratin,Miscellaneous,,cooking 
furniture_72-1,brine-shrimp aquarium,Miscellaneous,,Nook's Cranny (upgraded) 
furniture_73-1,bronze bug trophy,Miscellaneous,,Flick 
furniture_74-1,bronze fish trophy,Miscellaneous,,C.J. 
furniture_75-1,bronze HHA trophy,Miscellaneous,,Happy Home Academy 
furniture_76-1,brown cicada model,Miscellaneous,,Flick 
furniture_77-1,brown-sugar cupcakes,Miscellaneous,,cooking 
furniture_78-1,brown-sugar pound cake,Miscellaneous,,cooking 
furniture_79-1,Bunny Day basket,Miscellaneous,,Zipper 
furniture_80-1,Bunny Day candy,Miscellaneous,,Nook's Cranny 
furniture_81-1,Bunny Day lamp,Miscellaneous,,crafting 
furniture_82-1,bunny garden decoration,Miscellaneous,Ivory,Nook's Cranny Paradise Planning office 
furniture_82-2,bunny garden decoration,Miscellaneous,Terra-cotta,Nook's Cranny Paradise Planning office 
furniture_82-3,bunny garden decoration,Miscellaneous,Brown,Nook's Cranny Paradise Planning office 
furniture_82-4,bunny garden decoration,Miscellaneous,Gray,Nook's Cranny Paradise Planning office 
furniture_82-5,bunny garden decoration,Miscellaneous,Black,Nook's Cranny Paradise Planning office 
furniture_82-6,bunny garden decoration,Miscellaneous,White,Nook's Cranny Paradise Planning office 
furniture_82-7,bunny garden decoration,Miscellaneous,Pink,Nook's Cranny Paradise Planning office 
furniture_82-8,bunny garden decoration,Miscellaneous,Blue,Nook's Cranny Paradise Planning office 
furniture_83-1,butterfly fish model,Miscellaneous,,C.J. 
furniture_84-1,cake salé,Miscellaneous,,cooking 
furniture_85-1,camp stove,Miscellaneous,Yellow,Timmy Nook's Cranny 
furniture_85-2,camp stove,Miscellaneous,Red,Timmy Nook's Cranny 
furniture_85-3,camp stove,Miscellaneous,Blue,Timmy Nook's Cranny 
furniture_85-4,camp stove,Miscellaneous,Green,Timmy Nook's Cranny 
furniture_85-5,camp stove,Miscellaneous,Brown,Timmy Nook's Cranny 
furniture_85-6,camp stove,Miscellaneous,Black,Timmy Nook's Cranny 
furniture_86-1,candle,Miscellaneous,Gold,Timmy Nook's Cranny 
furniture_86-2,candle,Miscellaneous,Silver,Timmy Nook's Cranny 
furniture_86-3,candle,Miscellaneous,Copper,Timmy Nook's Cranny 
furniture_86-4,candle,Miscellaneous,Black,Timmy Nook's Cranny 
furniture_86-5,candle,Miscellaneous,White,Timmy Nook's Cranny 
furniture_87-1,cans,Miscellaneous,Canned fruits & veggies,Nook's Cranny Paradise Planning office 
furniture_87-2,cans,Miscellaneous,Canned fish,Nook's Cranny Paradise Planning office 
furniture_87-3,cans,Miscellaneous,Canned snacks,Nook's Cranny Paradise Planning office 
furniture_88-1,caprese sandwich set,Miscellaneous,,Nook's Cranny café 
furniture_89-1,card tower,Miscellaneous,Blue,Nook's Cranny Paradise Planning office 
furniture_89-2,card tower,Miscellaneous,Red,Nook's Cranny Paradise Planning office 
furniture_89-3,card tower,Miscellaneous,Green,Nook's Cranny Paradise Planning office 
furniture_90-1,cardboard box,Miscellaneous,Plain,Timmy Nook's Cranny 
furniture_90-2,cardboard box,Miscellaneous,Labeled,Timmy Nook's Cranny 
furniture_90-3,cardboard box,Miscellaneous,Oranges,Timmy Nook's Cranny 
furniture_90-4,cardboard box,Miscellaneous,Apples,Timmy Nook's Cranny 
furniture_90-5,cardboard box,Miscellaneous,Peaches,Timmy Nook's Cranny 
furniture_90-6,cardboard box,Miscellaneous,Pears,Timmy Nook's Cranny 
furniture_90-7,cardboard box,Miscellaneous,Cherries,Timmy Nook's Cranny 
furniture_91-1,cards,Miscellaneous,Blue,Nook's Cranny Paradise Planning office 
furniture_91-2,cards,Miscellaneous,Red,Nook's Cranny Paradise Planning office 
furniture_91-3,cards,Miscellaneous,Green,Nook's Cranny Paradise Planning office 
furniture_92-1,carnations,Miscellaneous,,Nook Shopping 
furniture_93-1,carp model,Miscellaneous,,C.J. 
furniture_94-1,carp on a cutting board,Miscellaneous,Black,crafting 
furniture_94-2,carp on a cutting board,Miscellaneous,Yellow,crafting 
furniture_94-3,carp on a cutting board,Miscellaneous,Red,crafting 
furniture_95-1,carpaccio di capesante,Miscellaneous,,cooking 
furniture_96-1,carpaccio di marlin blu,Miscellaneous,,cooking 
furniture_97-1,carpaccio di salmone,Miscellaneous,,cooking 
furniture_98-1,carrot bagel sandwich,Miscellaneous,,cooking 
furniture_99-1,carrot cake,Miscellaneous,,cooking 
furniture_100-1,carrot juice,Miscellaneous,,cooking 
furniture_101-1,carrot potage,Miscellaneous,,cooking 
furniture_102-1,carrot scones,Miscellaneous,,cooking 
furniture_103-1,carrot-tops curry,Miscellaneous,,cooking 
furniture_104-1,carton beverage,Miscellaneous,Milk,Nook's Cranny Paradise Planning office 
furniture_104-2,carton beverage,Miscellaneous,Coffee-flavored milk,Nook's Cranny Paradise Planning office 
furniture_104-3,carton beverage,Miscellaneous,Strawberry-flavored milk,Nook's Cranny Paradise Planning office 
furniture_104-4,carton beverage,Miscellaneous,Orange juice,Nook's Cranny Paradise Planning office 
furniture_104-5,carton beverage,Miscellaneous,Apple juice,Nook's Cranny Paradise Planning office 
furniture_104-6,carton beverage,Miscellaneous,Grape juice,Nook's Cranny Paradise Planning office 
furniture_104-7,carton beverage,Miscellaneous,Vegetable juice,Nook's Cranny Paradise Planning office 
furniture_104-8,carton beverage,Miscellaneous,Vegetable potage,Nook's Cranny Paradise Planning office 
furniture_105-1,cartoonist's set,Miscellaneous,Black,Nook's Cranny 
furniture_105-4,cartoonist's set,Miscellaneous,Silver,Nook's Cranny 
furniture_105-7,cartoonist's set,Miscellaneous,Pink,Nook's Cranny 
furniture_105-10,cartoonist's set,Miscellaneous,Brown,Nook's Cranny 
furniture_106-1,Casablanca lilies,Miscellaneous,White,Nook's Cranny Paradise Planning office 
furniture_106-2,Casablanca lilies,Miscellaneous,Pink,Nook's Cranny Paradise Planning office 
furniture_106-3,Casablanca lilies,Miscellaneous,Red,Nook's Cranny Paradise Planning office 
furniture_106-4,Casablanca lilies,Miscellaneous,Yellow,Nook's Cranny Paradise Planning office 
furniture_106-5,Casablanca lilies,Miscellaneous,Purple,Nook's Cranny Paradise Planning office 
furniture_107-1,cassette player,Miscellaneous,Red,Nook's Cranny 
furniture_107-2,cassette player,Miscellaneous,Yellow,Nook's Cranny 
furniture_107-3,cassette player,Miscellaneous,Green,Nook's Cranny 
furniture_107-4,cassette player,Miscellaneous,Blue,Nook's Cranny 
furniture_107-5,cassette player,Miscellaneous,Pink,Nook's Cranny 
furniture_107-6,cassette player,Miscellaneous,Silver,Nook's Cranny 
furniture_107-7,cassette player,Miscellaneous,White,Nook's Cranny 
furniture_107-8,cassette player,Miscellaneous,Black,Nook's Cranny 
furniture_108-1,cat grass,Miscellaneous,White,Nook's Cranny 
furniture_108-2,cat grass,Miscellaneous,Black,Nook's Cranny 
furniture_108-3,cat grass,Miscellaneous,Red,Nook's Cranny 
furniture_108-4,cat grass,Miscellaneous,Light blue,Nook's Cranny 
furniture_108-5,cat grass,Miscellaneous,Pink,Nook's Cranny 
furniture_109-1,catfish model,Miscellaneous,,C.J. 
furniture_110-1,celebratory candles,Miscellaneous,Brown,Nook's Cranny 
furniture_110-2,celebratory candles,Miscellaneous,Light brown,Nook's Cranny 
furniture_110-3,celebratory candles,Miscellaneous,Black,Nook's Cranny 
furniture_110-4,celebratory candles,Miscellaneous,Blue,Nook's Cranny 
furniture_110-5,celebratory candles,Miscellaneous,White,Nook's Cranny 
furniture_111-1,centipede model,Miscellaneous,,Flick 
furniture_112-1,chafing dish,Miscellaneous,None,Nook's Cranny Paradise Planning office 
furniture_112-2,chafing dish,Miscellaneous,Caprese salad,Nook's Cranny Paradise Planning office 
furniture_112-3,chafing dish,Miscellaneous,Cold entrée with sauce,Nook's Cranny Paradise Planning office 
furniture_112-4,chafing dish,Miscellaneous,Terrine,Nook's Cranny Paradise Planning office 
furniture_112-5,chafing dish,Miscellaneous,Tteokbokki,Nook's Cranny Paradise Planning office 
furniture_112-6,chafing dish,Miscellaneous,Penne,Nook's Cranny Paradise Planning office 
furniture_112-7,chafing dish,Miscellaneous,Pilaf,Nook's Cranny Paradise Planning office 
furniture_113-1,chainsaw,Miscellaneous,Red,Nook's Cranny Paradise Planning office 
furniture_113-2,chainsaw,Miscellaneous,Yellow,Nook's Cranny Paradise Planning office 
furniture_113-3,chainsaw,Miscellaneous,Blue,Nook's Cranny Paradise Planning office 
furniture_113-4,chainsaw,Miscellaneous,Orange,Nook's Cranny Paradise Planning office 
furniture_113-5,chainsaw,Miscellaneous,White,Nook's Cranny Paradise Planning office 
furniture_113-6,chainsaw,Miscellaneous,Green,Nook's Cranny Paradise Planning office 
furniture_114-1,champiñones al ajillo,Miscellaneous,,cooking 
furniture_115-1,char model,Miscellaneous,,C.J. 
furniture_116-1,cherry jam,Miscellaneous,,cooking 
furniture_117-1,cherry jelly,Miscellaneous,,cooking 
furniture_118-1,cherry pie,Miscellaneous,,cooking 
furniture_119-1,cherry salmon model,Miscellaneous,,C.J. 
furniture_120-1,cherry smoothie,Miscellaneous,,cooking 
furniture_121-1,cherry speakers,Miscellaneous,Cherry,crafting 
furniture_121-2,cherry speakers,Miscellaneous,Black cherry,crafting 
furniture_122-1,cherry tart,Miscellaneous,,cooking 
furniture_123-1,cherry-blossom bonsai,Miscellaneous,,crafting 
furniture_124-1,chessboard,Miscellaneous,Brown,Nook's Cranny (upgraded) 
furniture_124-2,chessboard,Miscellaneous,Black,Nook's Cranny (upgraded) 
furniture_125-1,Chinese-style meal,Miscellaneous,,Nook's Cranny café 
furniture_126-1,chocolate heart,Miscellaneous,Milk chocolate,Nook Shopping any villager Isabelle 
furniture_126-2,chocolate heart,Miscellaneous,Dark chocolate,Nook Shopping any villager Isabelle 
furniture_126-3,chocolate heart,Miscellaneous,White chocolate,Nook Shopping any villager Isabelle 
furniture_126-4,chocolate heart,Miscellaneous,Strawberry chocolate,Nook Shopping any villager Isabelle 
furniture_127-1,cicada shell model,Miscellaneous,,Flick 
furniture_128-1,Cinnamoroll tray,Miscellaneous,,Nook Shopping 
furniture_129-1,citrus long-horned b. model,Miscellaneous,,Flick 
furniture_130-1,clam chowder,Miscellaneous,,cooking 
furniture_131-1,classic pitcher,Miscellaneous,Unglazed,crafting 
furniture_131-2,classic pitcher,Miscellaneous,Simple,crafting 
furniture_131-3,classic pitcher,Miscellaneous,Sky blue,crafting 
furniture_131-4,classic pitcher,Miscellaneous,Yellow amber,crafting 
furniture_131-5,classic pitcher,Miscellaneous,Fruits,crafting 
furniture_131-6,classic pitcher,Miscellaneous,Artistic,crafting 
furniture_132-1,clipboard,Miscellaneous,Blue,Nook's Cranny Paradise Planning office 
furniture_132-9,clipboard,Miscellaneous,Black,Nook's Cranny Paradise Planning office 
furniture_132-17,clipboard,Miscellaneous,Red,Nook's Cranny Paradise Planning office 
furniture_132-25,clipboard,Miscellaneous,Yellow,Nook's Cranny Paradise Planning office 
furniture_132-33,clipboard,Miscellaneous,Green,Nook's Cranny Paradise Planning office 
furniture_132-41,clipboard,Miscellaneous,White,Nook's Cranny Paradise Planning office 
furniture_132-49,clipboard,Miscellaneous,Brown,Nook's Cranny Paradise Planning office 
furniture_133-1,clown fish model,Miscellaneous,,C.J. 
furniture_134-1,coconut cookies,Miscellaneous,,cooking 
furniture_135-1,coconut juice,Miscellaneous,,crafting 
furniture_136-1,coconut milk,Miscellaneous,,cooking 
furniture_137-1,coconut oil,Miscellaneous,,cooking 
furniture_138-1,coconut pancakes,Miscellaneous,,cooking 
furniture_139-1,coconut pudding,Miscellaneous,,cooking 
furniture_140-1,coelacanth model,Miscellaneous,,C.J. 
furniture_141-1,coffee beans,Miscellaneous,Original blend,Brewster 
furniture_141-2,coffee beans,Miscellaneous,Red (Mocha),Brewster 
furniture_141-3,coffee beans,Miscellaneous,Green (Kilimanjaro),Brewster 
furniture_141-4,coffee beans,Miscellaneous,Blue (Blue Mountain),Brewster 
furniture_141-5,coffee beans,Miscellaneous,Black (Decaf),Brewster 
furniture_142-1,coffee cup,Miscellaneous,Simple,Nook's Cranny 
furniture_142-2,coffee cup,Miscellaneous,Floral,Nook's Cranny 
furniture_142-3,coffee cup,Miscellaneous,Polka dots,Nook's Cranny 
furniture_142-4,coffee cup,Miscellaneous,Rose,Nook's Cranny 
furniture_142-5,coffee cup,Miscellaneous,Royal,Nook's Cranny 
furniture_142-6,coffee cup,Miscellaneous,Elegant,Nook's Cranny 
furniture_143-1,coffee grinder,Miscellaneous,,Nook's Cranny 
furniture_144-1,coin,Miscellaneous,,Nook Shopping 
furniture_145-1,colorful juice,Miscellaneous,,Nook's Cranny café 
furniture_146-1,common bluebottle model,Miscellaneous,,Flick 
furniture_147-1,common butterfly model,Miscellaneous,,Flick 
furniture_148-1,cookies,Miscellaneous,,cooking 
furniture_149-1,cooking tools,Miscellaneous,Stylish,Nook's Cranny Paradise Planning office 
furniture_149-2,cooking tools,Miscellaneous,Natural,Nook's Cranny Paradise Planning office 
furniture_150-1,cool globe,Miscellaneous,,Nook Shopping 
furniture_151-1,cooler box,Miscellaneous,Blue,Timmy Nook's Cranny 
furniture_151-2,cooler box,Miscellaneous,Red,Timmy Nook's Cranny 
furniture_151-3,cooler box,Miscellaneous,Yellow,Timmy Nook's Cranny 
furniture_151-4,cooler box,Miscellaneous,Green,Timmy Nook's Cranny 
furniture_152-1,cordless phone,Miscellaneous,White,Nook's Cranny 
furniture_152-2,cordless phone,Miscellaneous,Black,Nook's Cranny 
furniture_152-3,cordless phone,Miscellaneous,Silver,Nook's Cranny 
furniture_152-4,cordless phone,Miscellaneous,Red,Nook's Cranny 
furniture_152-5,cordless phone,Miscellaneous,Light blue,Nook's Cranny 
furniture_152-6,cordless phone,Miscellaneous,Pink,Nook's Cranny 
furniture_152-7,cordless phone,Miscellaneous,Yellow,Nook's Cranny 
furniture_153-1,cornucopia,Miscellaneous,,Franklin 
furniture_154-1,crawfish model,Miscellaneous,,C.J. 
furniture_155-1,cream and sugar,Miscellaneous,Brown,Nook's Cranny 
furniture_155-2,cream and sugar,Miscellaneous,Silver,Nook's Cranny 
furniture_155-3,cream and sugar,Miscellaneous,White,Nook's Cranny 
furniture_155-4,cream and sugar,Miscellaneous,Floral,Nook's Cranny 
furniture_156-1,cricket model,Miscellaneous,,Flick 
furniture_157-1,crucian carp model,Miscellaneous,,C.J. 
furniture_158-1,cube light,Miscellaneous,,Nook's Cranny Paradise Planning office 
furniture_159-1,cucumber horse,Miscellaneous,,Nook Shopping 
furniture_160-1,cup with saucer,Miscellaneous,,Brewster 
furniture_161-1,curry with rice,Miscellaneous,,Nook's Cranny café 
furniture_162-1,cushion,Miscellaneous,,Nook's Cranny 
furniture_163-1,cute music player,Miscellaneous,White,Nook's Cranny 
furniture_163-2,cute music player,Miscellaneous,Sky blue,Nook's Cranny 
furniture_163-3,cute music player,Miscellaneous,Yellow,Nook's Cranny 
